"15024","I-Bc","Q15","296v-297r (n. 312)","V. 2, ""Dufay""","Dufay, Guillaume","Sanctorum meritis"
"15024","I-MOe","X. I.11 (ModB)","18v-19r [21v-22r]","V. 2, ""Dufay""","Dufay, Guillaume","Sanctorum meritis"
"15024","I-TRbc","92","237v (n. 1581)","V. 2, ""Dufay""","Dufay, Guillaume","Sanctorum meritis"
"15025","keine","-","-","-","-","Sanctorum meritis"
"15026","I-Bc","Q15","297r (n. 313)","V. 2, ""Dufay""","Dufay, Guillaume","Iste confessor"
"15026","I-MOe","X. I.11 (ModB)","20r [23r]","V. 2, ""Dufay""","Dufay, Guillaume","Iste confessor"
"15026","I-TRbc","92","238r (n. 1582)","V. 2, ""Dufay""","Dufay, Guillaume","Iste confessor"
"15027","keine","-","-","Tenor wie 15026","-","Iste confessor"
"15028","I-Bc","Q15","298r (n. 315)","V. 4, ""Dufay""","Dufay, Guillaume/Anonymus","Iesu corona virginum"
"15028","I-MOe","X. I.11 (ModB)","20v [23v]","V. 4, ""Dufay""","Dufay, Guillaume/Anonymus","Iesu corona virginum"
"15029","I-Bc","Q15","292r (n. 303)","","Dufay, Guillaume","Urbs beata Ierusalem"
"15029","I-MOe","X. I.11 (ModB)","14v-15r [17v-18r]","anderer Tenor","Dufay, Guillaume","Urbs beata Ierusalem"
"15030","1541/02","Petreius","d 1v","nur Esurientes","Compère, Loyset","Magnificat (primi toni)"
"15030","I-Md","2269 (Librone 1)","10v-17r","""Loyset""","Compère, Loyset","Magnificat (primi toni)"
"15030","I-Tn","I.27","55v-57v","nur geradzahlige Verse","Compère, Loyset","Magnificat (primi toni)"
"15031","E-SE","s.s.","142v-145v","""Anthonius Brumel""","Brumel, Antoine? (Llorens)","Magnificat (primi toni)"
"15032","NL-SH","73","106v-112r (n. 60)","","","Magnificat (secundi toni)"
"15033","D-Mbs","3154","121r-122v (n. 86)","fälschlich ""secundi toni"" benannt","Martini, Johannes","Magnificat (tertii toni)"
"15033","I-Md","2269 (Librone 1)","23v-27r","","Martini, Johannes","Magnificat (tertii toni)"
"15033","I-MOe","X. I.11 (ModB)","38v-39r [41v-42r]","""Jo. (Kirsch: Jio.) martini"", nur ungeradzahlige Verse","Martini, Johannes","Magnificat (tertii toni)"
"15033","I-VEcap","759","73v-75r","","Martini, Johannes","Magnificat (tertii toni)"
"15034","BAV","SP B80","200v-203r","","Dufay, Guillaume","Magnificat (tertii toni)"
"15034","I-MC","871","p. 330-333","""Dufay""","Dufay, Guillaume","Magnificat (tertii toni)"
"15034","I-Md","2269 (Librone 1)","8v-10r","","Dufay, Guillaume","Magnificat (tertii toni)"
"15034","I-TRbc","89","165r-166r (n. 614)","","Dufay, Guillaume","Magnificat (tertii toni)"
"15035","D-Mbs","3154","118v-120r","""Jo. Martini"", nur geradzahlige Verse","Martini, Johannes","Magnificat (quarti toni)"
"15036","A-Wn","18832","n. 49","","Agricola, Alexander/Brumel, Antoine","Magnificat (quarti toni)"
"15036","BAV","CS 63 (=63019)","77v-85r","""Brumel""","Agricola, Alexander/Brumel, Antoine","Magnificat (quarti toni)"
"15036","D-B","40021","93r-95r","","Agricola, Alexander/Brumel, Antoine","Magnificat (quarti toni)"
"15036","D-Dl","1/D/506","186r-195r","","Agricola, Alexander/Brumel, Antoine","Magnificat (quarti toni)"
