"nur Verweise","5.0000","vgl. GR, p. 416","","SS. Tiburtii, Valeriani et Maximi","In scorum mrum Tyburtii et Valeriani et Maxi.","31r","Proprium","","21","5024",""
"nur Verweise","5.0000","vgl. GR, p. 417","","S. Georgii","In sci Georgii","31r","Proprium","","22","5025",""
"nur Verweise; Rasur überprüfen!","5.0000","vgl. GR, p. 417","","S. Marci evangelistae","In sci Marci evangel.","31r","Proprium","","23","5026",""
"","5.0000","vgl. GR, p. 426-428","","SS. Philippi et Jacobi","In scorum aplorum Philippi et Jacobi","31r-33r","Proprium","","24","5027",""
"","5.0000","vgl. GR, p. 428-431","","Inventio S. Crucis","In inventione sce crucis","33r-35v","Proprium","","25","5028",""
"nur Verweise","5.0000","vgl. GR, p. 431","","S. Johannes ante portam Latinam","In sci Joh.is ante portam latinam","35v","Proprium","","26","5029",""
"nur Verweise","5.0000","vgl. GR, p. 432","","Apparitio S. Michaelis","In inventione sci Michaelis","35v","Proprium","","27","5030",""
"nur Verweise","5.0000","vgl. GR, p. 432","","SS. Gordiani et Epimachi","In scorum mrum Gordiani et Epimachi","35v","Proprium","","28","5031",""
"nur Verweise","5.0000","vgl. GR, p. 432-433","","SS. Nerei, Achillei et Pancratii","In scorum Nerei Arch.i atque Pa.i","36r","Proprium","","29","5032",""
"nur Verweise","5.0000","vgl. GR, p. 434","","S. Pudentianae","In sce Potentiane vgis et mis","36r","Proprium","","30","5033",""
"nur Verweise","5.0000","vgl. GR, p. 435","","S. Urbani","In sci Urbani pp et mis","36r","Proprium","","31","5034",""
"nur Verweise","5.0000","vgl. GR, p. 445","","SS. Marcellini, Petri et Erasmi","In scorum mum Marcellini Petri et Erasmi","36r","Proprium","","32","5035",""
"nur Verweise","5.0000","vgl. GR, p. 451-452","","SS. Primi et Feliciani","In scorum mum Primi et Feliciani","36r-36v","Proprium","","33","5036",""
"nur Verweise","5.0000","vgl. GR, p. 453-454","","S. Barnabae","In scti Barnabe apli","36v","Proprium","","34","5037",""
"nur Verweise","5.0000","vgl. GR, p. 454-456","","SS. Basilidis, Cyrini, Naboris et Nazarii","In scorum mum Basilidis Cirini Naboris et Naçarii","36v","Proprium","","35","5038",""
"nur Verweise","5.0000","vgl. GR, p. 458","","SS. Marci et Marcellini","In scorum m. Marci et Marcellini","36v","Proprium","","36","5039",""
"nur Verweise","5.0000","vgl. GR, p. 458","","SS. Gervasii et Protasii","In scorum mrum Gervasi et Protasii","36v","Proprium","","37","5040",""
"","5.0000","vgl. GR, p. 461-462","","S. Johannis Baptistae vig.","In vigilia sci Joh.is bte","36v-38v","Proprium","","38","5041",""
"","5.0000","vgl. GR, p. 463-465","","S. Johannis Baptistae","In nativit. sci Joh.is baptiste","38v-41v","Proprium","","39","5042",""
"nur Verweise","5.0000","vgl. GR, p. 465-466","","SS. Johannis et Pauli","In scorum mrum Joh.is et Pauli","42r","Proprium","","40","5043",""
"","5.0000","vgl. GR, p. 466-467","","SS. Petri et Pauli vig.","In vigilia aplorum Petri et Pauli","42r-43v","Proprium","","41","5044",""
